id,transaction_per_day,age,weight,height,prosperity_level
116,18,58,70.9 kg,161.22 cm,Average
117,18,92,70.37 kg,172.49 cm,High
118,21,87,78.66 kg,174.56 cm,High
119,,43,72.52 kg,159.62 cm,Average
120,19,57,78.88 kg,164.99 cm,High
121,31,33,52.65 kg,169.33 cm,Low
122,17,51,57.83 kg,166.29 cm,High
123,21,69,64.06 kg,153.42 cm,High
124,27,27,71.91 kg,163.94 cm,Low
125,20,36,78.54 kg,165.42 cm,Low
126,25,64,67.19 kg,156.49 cm,High
127,18,75,58.8 kg,152.2 cm,High
128,25,75,71.59 kg,151.26 cm,High
129,23,79,71.83 kg,165.79 cm,High
130,32,,77.44 kg,159.95 cm,Low
131,13,67,55.94 kg,178.41 cm,Average
132,43,31,72.32 kg,162.87 cm,Low
133,21,74,79.76 kg,158.92 cm,High
134,33,49,61.54 kg,152.95 cm,Low
135,26,56,72.3 kg,174.66 cm,Low
136,19,59,68.84 kg,166.86 cm,Low
137,28,25,75.92 kg,173.71 cm,Average
138,20,44,59.23 kg,178.47 cm,Average
139,21,86,60.41 kg,161.94 cm,Average
140,17,47,67.03 kg,163.92 cm,Average
141,24,86,56.36 kg,166.84 cm,High
142,17,36,69.97 kg,168.72 cm,Low
143,21,47,72.18 kg,163.12 cm,High
144,19,33,76.26 kg,168.8 cm,Average
145,24,62,53.98 kg,177.06 cm,Average
146,21,67,53.15 kg,174.9 cm,Average
147,23,92,65.98 kg,163.38 cm,Average
148,,59,50.14 kg,168.55 cm,High
149,44,51,65.36 kg,168.75 cm,Low
150,44,42,71.19 kg,179.23 cm,Average
151,40,39,69.96 kg,171.48 cm,Low
152,27,47,58.78 kg,173.85 cm,High
153,27,41,67.43 kg,157.58 cm,Low
154,27,37,67.97 kg,173.55 cm,Average
155,28,30,57.83 kg,177.2 cm,Average
156,24,82,72.75 kg,156.32 cm,High
157,26,27,61.63 kg,160.43 cm,Low
158,18,49,60.91 kg,158.88 cm,High
159,31,39,75.51 kg,164.17 cm,Low
160,27,85,75.42 kg,154.57 cm,Average
161,48,56,66.33 kg,150.51 cm,Average
162,26,91,51.51 kg,176.55 cm,Average
163,49,51,60.54 kg,176.29 cm,Average
164,23,50,50.71 kg,175.66 cm,Average
165,19,86,59.43 kg,171.68 cm,Average
166,21,85,62.26 kg,173.88 cm,Average
167,18,59,58.75 kg,176.43 cm,High
168,18,59,54.15 kg,168.23 cm,High
169,45,47,62.14 kg,154.14 cm,Average
170,36,44,78.92 kg,174.72 cm,Low
171,45,48,67.2 kg,179.65 cm,Average
172,11,64,77.53 kg,170.01 cm,Average
173,20,94,51.93 kg,170.89 cm,High
174,31,33,61.75 kg,,Average
175,20,52,63.88 kg,178.74 cm,Low
176,37,54,55.5 kg,154.7 cm,Average
177,26,63,73.45 kg,164.55 cm,High
178,20,72,,151.7 cm,Average
179,38,45,67.3 kg,176.7 cm,Low
180,26,79,67.26 kg,178.28 cm,Average
181,19,55,60.22 kg,177.88 cm,Low
182,42,20,56.54 kg,176.51 cm,Low
183,28,49,61.64 kg,153.45 cm,Average
184,12,66,64.16 kg,164.13 cm,Average
185,13,53,52.37 kg,167.87 cm,Average
186,22,94,61.49 kg,169.96 cm,High
187,25,45,66.57 kg,156.67 cm,Low
188,16,53,56.44 kg,175.33 cm,Average
189,20,73,53.75 kg,161.7 cm,Average
190,15,87,72.43 kg,154.62 cm,Average
191,26,44,73.73 kg,155.64 cm,Average
192,21,90,63.85 kg,179.98 cm,Average
193,24,83,55.41 kg,153.17 cm,High
194,22,87,55.51 kg,171.04 cm,Average
195,24,28,61.05 kg,167.36 cm,Low
196,20,50,74.84 kg,162.99 cm,High
197,26,83,53.77 kg,163.07 cm,High
198,18,51,61.6 kg,153.59 cm,Average
199,37,45,66.51 kg,157.51 cm,Low
200,24,81,64.41 kg,166.76 cm,High
201,33,30,77.0 kg,177.36 cm,Low
202,21,49,66.71 kg,179.77 cm,Low
203,21,80,57.51 kg,155.14 cm,High
204,28,25,75.86 kg,170.91 cm,Low
205,17,53,75.37 kg,169.73 cm,Average
206,17,79,74.72 kg,155.84 cm,
207,19,56,73.51 kg,154.31 cm,High
208,24,72,66.08 kg,151.81 cm,High
209,17,70,72.32 kg,179.54 cm,Average
210,19,49,64.96 kg,174.99 cm,Average
211,24,48,62.37 kg,172.31 cm,Average
212,15,72,79.13 kg,176.77 cm,Average
213,30,49,,166.43 cm,Low
214,24,31,70.61 kg,165.41 cm,Average
215,26,73,52.6 kg,179.77 cm,High
216,25,52,70.63 kg,162.04 cm,High
217,21,62,55.05 kg,153.1 cm,High
218,25,27,75.85 kg,165.62 cm,Average
219,25,51,64.49 kg,165.01 cm,Average
220,16,86,65.97 kg,172.92 cm,High
221,46,53,63.58 kg,154.73 cm,Average
222,18,22,65.17 kg,169.91 cm,Low
223,48,56,,168.05 cm,Low
224,36,51,75.07 kg,158.88 cm,Low
225,24,57,69.2 kg,155.14 cm,High
226,24,72,73.76 kg,169.46 cm,High
227,19,40,78.56 kg,160.61 cm,Low
228,21,87,67.97 kg,178.9 cm,High
229,30,86,52.35 kg,154.72 cm,High
230,25,70,54.43 kg,179.73 cm,Average
231,19,54,51.62 kg,175.98 cm,Average
232,23,50,75.55 kg,166.15 cm,Low
233,34,28,54.71 kg,151.13 cm,Average
234,19,74,76.02 kg,153.09 cm,Average
235,24,58,69.25 kg,158.89 cm,Low
236,24,49,50.99 kg,157.6 cm,Low
237,26,62,61.13 kg,165.06 cm,High
238,39,28,68.75 kg,169.17 cm,Average
239,15,61,66.34 kg,155.75 cm,High
240,25,80,55.34 kg,160.2 cm,Average
241,22,53,65.65 kg,176.54 cm,Low
242,25,76,57.12 kg,152.71 cm,High
243,19,83,59.65 kg,156.08 cm,Average
244,23,49,66.77 kg,153.94 cm,Low
245,26,70,62.42 kg,160.96 cm,High
246,22,87,63.82 kg,152.57 cm,Average
247,31,29,53.57 kg,163.3 cm,Average
248,23,35,78.95 kg,162.65 cm,Low
249,31,35,66.1 kg,175.02 cm,Low
250,13,67,54.86 kg,159.01 cm,Average
251,45,49,78.34 kg,164.54 cm,Low
252,,28,55.85 kg,154.53 cm,Average
253,27,50,50.88 kg,179.15 cm,Average
254,43,35,68.93 kg,154.82 cm,Average
255,22,50,65.02 kg,175.24 cm,High
256,23,60,64.57 kg,161.25 cm,High
257,19,56,61.62 kg,163.19 cm,Average
258,28,40,69.91 kg,173.29 cm,Low
259,42,43,75.2 kg,160.94 cm,Low
260,45,41,64.54 kg,153.76 cm,Low
261,19,26,69.26 kg,154.76 cm,Low
262,16,71,64.6 kg,159.53 cm,Average
263,23,52,72.61 kg,166.88 cm,Low
264,48,34,52.99 kg,150.86 cm,Average
265,29,55,74.76 kg,175.9 cm,Average
266,20,54,77.32 kg,156.73 cm,Low
267,21,58,74.59 kg,166.94 cm,High
268,13,65,78.22 kg,158.9 cm,High
269,20,44,78.99 kg,175.95 cm,Low
270,36,34,63.19 kg,170.62 cm,Low
271,27,67,75.68 kg,176.47 cm,Average
272,18,49,52.38 kg,163.52 cm,High
273,20,56,55.16 kg,165.82 cm,Average
274,15,57,50.48 kg,154.4 cm,High
275,21,70,55.77 kg,171.2 cm,Average
276,22,76,66.74 kg,163.88 cm,High
277,23,78,52.41 kg,169.76 cm,Average
278,21,88,62.54 kg,178.07 cm,Average
279,32,49,77.92 kg,167.61 cm,Low
280,43,55,66.2 kg,164.59 cm,Average
281,18,76,,161.49 cm,Average
282,40,47,60.88 kg,163.24 cm,Average
283,23,90,57.37 kg,153.72 cm,High
284,23,90,60.32 kg,160.05 cm,High
285,39,56,67.88 kg,157.74 cm,Average
286,21,56,71.72 kg,173.42 cm,Average
287,17,39,76.64 kg,152.67 cm,Low
288,34,31,57.06 kg,154.33 cm,Low
289,25,72,71.72 kg,162.66 cm,Average
290,19,60,79.96 kg,167.36 cm,Average
291,41,38,64.67 kg,155.49 cm,Average
292,26,56,65.71 kg,162.95 cm,High
293,38,34,58.86 kg,153.27 cm,Average
294,25,57,62.66 kg,158.72 cm,High
295,26,55,69.1 kg,179.12 cm,Low
296,17,59,76.0 kg,158.43 cm,Average
297,44,35,58.5 kg,157.61 cm,Low
298,14,67,73.1 kg,159.34 cm,High
299,24,59,77.44 kg,153.91 cm,High
300,30,34,53.29 kg,164.02 cm,Low
301,25,62,76.77 kg,156.93 cm,High
302,13,50,70.78 kg,154.21 cm,High
303,27,83,67.16 kg,156.74 cm,High
304,26,57,59.55 kg,150.63 cm,High
305,20,81,78.48 kg,151.03 cm,High
306,31,43,65.39 kg,159.7 cm,Average
307,23,62,57.13 kg,165.88 cm,High
308,27,86,50.68 kg,171.47 cm,Average
309,29,39,61.4 kg,153.77 cm,Low
310,32,48,75.51 kg,176.22 cm,Average
311,23,69,67.69 kg,161.5 cm,Average
312,20,61,58.1 kg,159.79 cm,High
313,23,19,51.67 kg,167.56 cm,Low
314,18,37,51.12 kg,166.29 cm,Low
315,23,95,59.36 kg,173.1 cm,Average
316,16,24,71.41 kg,153.58 cm,Low
317,26,87,67.51 kg,165.16 cm,High
318,37,39,79.98 kg,152.65 cm,Average
319,46,43,,174.31 cm,Average
320,28,58,70.97 kg,163.47 cm,Average
321,21,95,56.1 kg,157.2 cm,Average
322,32,37,76.3 kg,157.92 cm,Average
323,26,31,53.14 kg,168.34 cm,Low
324,20,54,63.48 kg,164.46 cm,Average
325,37,54,64.41 kg,153.24 cm,Average
326,32,51,72.89 kg,163.97 cm,Low
327,19,54,54.46 kg,165.73 cm,Average
328,19,47,59.7 kg,161.65 cm,Low
329,46,33,79.83 kg,150.07 cm,Low
330,18,60,67.86 kg,166.37 cm,High
331,29,50,59.75 kg,171.01 cm,Low
332,26,78,55.6 kg,169.95 cm,High
333,43,37,76.05 kg,157.63 cm,Low
334,24,50,51.32 kg,168.12 cm,Average
335,29,73,58.45 kg,157.3 cm,Average
336,43,50,77.42 kg,154.04 cm,Average
337,26,84,50.63 kg,153.43 cm,Average
338,29,77,55.91 kg,150.38 cm,Average
339,36,45,66.54 kg,168.79 cm,Average
340,14,40,53.65 kg,173.09 cm,High
341,43,39,72.73 kg,168.34 cm,Average
342,24,36,59.27 kg,178.18 cm,Low
343,39,54,54.54 kg,177.29 cm,Low
344,15,54,76.01 kg,176.89 cm,High
345,15,63,58.81 kg,160.37 cm,High
346,20,43,73.2 kg,174.59 cm,High
347,20,25,75.8 kg,153.1 cm,Low
348,37,47,69.05 kg,158.21 cm,Average
349,31,35,58.3 kg,155.39 cm,Low
350,15,53,67.88 kg,164.87 cm,High
351,21,85,74.5 kg,158.65 cm,Average
352,34,28,50.86 kg,155.15 cm,Average
353,40,34,58.94 kg,152.72 cm,Low
354,22,33,62.43 kg,172.5 cm,Low
355,38,53,63.87 kg,179.1 cm,Low
356,18,80,78.59 kg,157.23 cm,Average
357,30,29,61.85 kg,155.94 cm,Low
358,33,20,66.16 kg,171.78 cm,Average
359,22,56,76.38 kg,169.85 cm,High
360,23,82,55.53 kg,151.89 cm,Average
361,13,94,69.23 kg,156.32 cm,High
362,19,87,59.66 kg,151.56 cm,Average
363,21,73,78.61 kg,161.49 cm,Average
364,44,24,59.26 kg,159.65 cm,Average
365,37,52,72.37 kg,171.41 cm,Low
366,19,64,51.16 kg,150.58 cm,High
367,44,25,58.06 kg,156.37 cm,Average
368,25,42,76.23 kg,167.39 cm,High
369,21,87,51.93 kg,152.13 cm,High
370,20,67,62.41 kg,164.3 cm,Average
371,18,59,58.79 kg,153.1 cm,High
372,36,41,52.14 kg,160.8 cm,Average
373,19,62,55.71 kg,167.17 cm,High
374,22,23,67.47 kg,173.55 cm,Average
375,15,81,,165.74 cm,High
376,27,90,75.44 kg,156.21 cm,High
377,28,20,53.57 kg,173.73 cm,Low
378,25,53,64.37 kg,151.2 cm,High
379,22,67,65.1 kg,170.99 cm,High
380,27,42,62.9 kg,171.96 cm,Average
381,49,47,52.17 kg,176.48 cm,Average
382,21,80,65.93 kg,166.54 cm,Average
383,21,60,54.03 kg,165.23 cm,Average
384,28,58,56.32 kg,153.96 cm,Low
385,17,83,56.1 kg,170.77 cm,Average
386,24,57,67.14 kg,169.18 cm,Average
387,22,34,71.54 kg,167.44 cm,Average
388,20,78,53.55 kg,179.06 cm,High
389,37,40,78.53 kg,175.2 cm,Average
390,12,91,66.8 kg,153.55 cm,High
391,27,44,62.28 kg,170.5 cm,High
392,22,76,73.45 kg,168.9 cm,High
393,18,44,53.12 kg,176.21 cm,Average
394,22,48,53.07 kg,155.35 cm,Low
395,25,83,61.56 kg,159.73 cm,High
396,21,61,68.98 kg,170.68 cm,Average
397,18,78,70.44 kg,168.05 cm,Average
398,25,79,57.32 kg,178.47 cm,High
399,48,38,68.33 kg,173.81 cm,Average
400,29,34,58.99 kg,171.42 cm,Low
401,22,82,60.58 kg,170.3 cm,Average
402,29,25,76.8 kg,169.54 cm,Low
403,29,23,53.87 kg,167.88 cm,Average
404,36,36,77.02 kg,169.73 cm,Average
405,22,73,60.03 kg,156.64 cm,High
406,21,42,52.08 kg,178.97 cm,Low
407,19,55,58.56 kg,151.53 cm,Average
408,27,56,56.68 kg,166.3 cm,Low
409,47,18,71.3 kg,170.54 cm,Low
410,20,88,50.22 kg,179.97 cm,High
411,35,22,55.08 kg,165.98 cm,Average
412,20,58,74.77 kg,152.07 cm,High
413,19,49,72.53 kg,178.58 cm,Average
414,20,28,67.9 kg,154.17 cm,Low
415,16,48,54.56 kg,152.65 cm,Average
416,27,54,75.42 kg,176.92 cm,Average
417,18,64,53.52 kg,178.67 cm,High
418,36,39,72.56 kg,160.8 cm,Average
419,27,59,59.41 kg,169.43 cm,High
420,25,84,70.9 kg,178.18 cm,Average
421,12,66,52.12 kg,178.52 cm,Average
422,30,36,76.47 kg,155.34 cm,Average
423,20,38,50.76 kg,153.85 cm,Low
424,24,82,74.28 kg,168.37 cm,High
425,23,91,68.78 kg,175.88 cm,High
426,33,31,75.23 kg,154.78 cm,Low
427,21,73,52.0 kg,170.07 cm,High
428,29,50,58.22 kg,167.26 cm,Average
429,24,58,62.96 kg,157.53 cm,High
430,21,46,63.18 kg,159.07 cm,High
431,24,48,76.39 kg,151.7 cm,High
432,18,82,60.28 kg,178.18 cm,High
433,39,38,71.52 kg,150.29 cm,Low
434,37,41,55.53 kg,169.47 cm,Low
435,31,26,63.47 kg,162.55 cm,Low
436,46,23,73.87 kg,169.67 cm,Low
437,42,45,73.21 kg,168.83 cm,Low
438,17,82,70.8 kg,156.34 cm,High
439,28,98,53.87 kg,166.56 cm,Average
440,18,95,58.76 kg,151.68 cm,High
441,13,56,76.09 kg,171.56 cm,High
442,23,69,79.74 kg,164.41 cm,Average
443,24,20,55.51 kg,160.59 cm,Average
444,26,51,56.59 kg,179.04 cm,
445,26,79,74.36 kg,176.43 cm,High
446,27,57,73.85 kg,162.64 cm,High
447,25,46,67.03 kg,173.16 cm,Low
448,26,49,52.27 kg,169.55 cm,Low
449,17,40,69.48 kg,152.96 cm,Average
450,21,57,58.22 kg,151.73 cm,Average
451,39,33,70.39 kg,179.72 cm,Average
452,18,67,53.6 kg,150.19 cm,High
453,14,69,79.89 kg,161.57 cm,Average
454,22,29,71.19 kg,165.03 cm,Average
455,37,49,68.58 kg,175.82 cm,Average
456,14,54,52.04 kg,170.92 cm,Average
457,28,97,61.62 kg,172.42 cm,Average
458,22,65,63.78 kg,161.49 cm,Average
459,29,44,66.65 kg,160.32 cm,Average
460,25,67,63.71 kg,154.69 cm,Average
461,29,22,79.44 kg,175.47 cm,Average
462,29,55,72.19 kg,172.25 cm,Low
463,42,34,50.46 kg,163.67 cm,Low
464,44,28,79.5 kg,161.66 cm,Low
465,23,41,59.08 kg,153.27 cm,Average
466,24,52,63.55 kg,158.68 cm,Low
467,18,39,59.55 kg,167.81 cm,Average
468,15,58,73.58 kg,177.05 cm,High
469,26,45,55.51 kg,166.4 cm,High
470,38,37,51.23 kg,172.92 cm,Average
471,24,67,54.66 kg,166.34 cm,Average
472,18,71,74.66 kg,160.32 cm,High
473,27,32,60.57 kg,179.96 cm,Low
474,31,29,67.39 kg,173.82 cm,Average
475,18,94,52.49 kg,158.4 cm,High
476,20,60,79.94 kg,161.16 cm,High
477,48,26,75.78 kg,176.86 cm,Low
478,27,57,63.08 kg,179.49 cm,Average
479,35,21,79.31 kg,161.05 cm,Low
480,17,72,51.37 kg,,Average
481,21,39,63.52 kg,154.05 cm,Average
482,23,92,70.2 kg,153.68 cm,Average
483,22,,69.75 kg,154.0 cm,Average
484,20,70,57.22 kg,159.76 cm,Average
485,28,34,77.16 kg,156.58 cm,
486,45,41,,159.58 cm,Average
487,16,86,70.22 kg,161.37 cm,High
488,20,88,66.38 kg,174.09 cm,High
489,16,61,51.52 kg,155.63 cm,Average
490,35,53,79.62 kg,172.32 cm,Average
491,38,43,79.21 kg,171.71 cm,Low
492,46,45,72.39 kg,157.64 cm,Average
493,21,85,74.2 kg,173.78 cm,
494,21,70,74.01 kg,159.17 cm,Average
495,24,65,64.35 kg,169.77 cm,Average
496,27,93,78.13 kg,168.64 cm,High
497,37,23,77.15 kg,160.94 cm,Low
498,23,69,68.35 kg,159.93 cm,Average
499,35,52,52.34 kg,158.93 cm,Low
500,21,74,77.55 kg,165.68 cm,Average
501,24,83,73.82 kg,178.49 cm,High
502,20,34,71.58 kg,159.17 cm,Low
503,11,91,60.91 kg,151.51 cm,Average
504,26,60,50.85 kg,165.61 cm,Average
505,24,80,75.42 kg,162.62 cm,Average
506,24,31,53.55 kg,155.21 cm,Low
507,22,71,59.97 kg,178.4 cm,High
508,11,90,51.04 kg,170.57 cm,Average
509,48,35,72.2 kg,150.96 cm,Average
510,38,35,68.54 kg,159.75 cm,Average
511,17,68,73.48 kg,156.69 cm,High
512,19,50,69.91 kg,163.3 cm,High
513,25,25,51.2 kg,172.08 cm,Average
514,41,17,61.64 kg,157.01 cm,Average
515,40,40,61.79 kg,170.26 cm,Average
516,24,83,69.79 kg,157.1 cm,High
517,49,35,59.48 kg,164.09 cm,Average
518,31,32,52.81 kg,151.09 cm,Low
519,44,38,50.82 kg,150.87 cm,Low
520,18,36,50.95 kg,159.1 cm,Average
521,33,31,69.35 kg,163.21 cm,Low
522,15,56,79.56 kg,177.66 cm,High
523,31,35,67.17 kg,152.79 cm,Low
524,17,82,59.82 kg,150.32 cm,High
525,34,58,54.88 kg,159.05 cm,Low
526,17,50,54.03 kg,172.7 cm,Average
527,36,16,57.22 kg,167.38 cm,Average
528,27,50,50.99 kg,159.41 cm,Average
529,17,51,53.93 kg,168.84 cm,Average
530,18,65,63.43 kg,166.98 cm,Average
531,23,66,54.83 kg,162.91 cm,Average
532,14,87,55.12 kg,166.27 cm,Average
533,26,90,55.45 kg,150.62 cm,High
534,40,47,55.89 kg,173.33 cm,Low
535,24,26,71.77 kg,167.44 cm,Low
536,15,87,60.05 kg,166.11 cm,High
537,18,27,75.4 kg,162.87 cm,Average
538,42,30,64.84 kg,150.38 cm,Low
539,21,63,58.76 kg,151.64 cm,High
540,24,78,64.93 kg,170.86 cm,High
541,18,39,76.99 kg,165.9 cm,Average
542,42,33,60.93 kg,167.7 cm,Low
543,14,71,61.95 kg,155.86 cm,Average
544,23,58,57.71 kg,177.04 cm,Average
545,20,66,63.71 kg,178.57 cm,High
546,22,71,63.37 kg,159.41 cm,High
547,26,53,74.55 kg,177.89 cm,Average
548,16,30,55.39 kg,158.65 cm,Low
549,36,50,79.75 kg,155.3 cm,Average
550,18,88,69.64 kg,162.8 cm,High
551,19,58,75.78 kg,161.91 cm,Average
552,15,68,79.52 kg,162.59 cm,High
553,45,50,76.82 kg,165.94 cm,Average
554,23,73,70.56 kg,170.75 cm,High
555,33,55,53.93 kg,175.12 cm,Low
556,19,59,66.9 kg,159.4 cm,Average
557,29,93,73.3 kg,174.62 cm,High
558,25,49,70.43 kg,154.62 cm,Average
559,29,41,65.69 kg,157.65 cm,Average
560,23,71,75.95 kg,155.12 cm,Average
561,15,81,76.77 kg,162.41 cm,Average
562,22,55,50.9 kg,,High
563,29,24,70.5 kg,169.86 cm,Average
564,18,73,66.4 kg,157.93 cm,Average
565,45,46,69.02 kg,160.66 cm,Average
566,25,92,79.11 kg,160.11 cm,Average
567,42,43,75.88 kg,173.03 cm,Average
568,20,72,78.48 kg,159.09 cm,High
569,18,52,70.61 kg,154.52 cm,Average
570,17,44,74.85 kg,154.73 cm,Average
571,22,98,67.23 kg,159.66 cm,Average
572,23,77,50.72 kg,151.8 cm,High
573,45,49,51.37 kg,169.77 cm,Average
574,17,38,66.6 kg,164.45 cm,Low
575,14,79,66.44 kg,178.83 cm,Average
576,34,27,73.93 kg,178.54 cm,Low
577,47,37,50.27 kg,177.16 cm,Low
578,47,22,58.71 kg,174.51 cm,
579,20,38,58.79 kg,156.65 cm,Average
580,15,66,68.96 kg,175.55 cm,High
581,19,39,69.37 kg,161.78 cm,Low
582,14,50,61.8 kg,174.62 cm,Average
583,39,44,71.45 kg,177.0 cm,Low
584,14,65,77.64 kg,164.11 cm,High
585,19,,56.48 kg,163.82 cm,Average
586,24,41,63.26 kg,170.37 cm,Low
587,18,49,51.64 kg,152.23 cm,High
588,14,60,57.12 kg,163.24 cm,Average
589,21,43,66.25 kg,150.94 cm,Average
590,26,73,61.03 kg,171.16 cm,High
591,27,44,50.77 kg,151.19 cm,Low
592,16,74,67.35 kg,150.42 cm,High
593,17,41,70.95 kg,150.71 cm,Average
594,26,73,57.87 kg,163.91 cm,High
595,16,22,70.95 kg,171.52 cm,Low
596,24,70,77.86 kg,170.02 cm,High
597,29,33,78.66 kg,168.33 cm,Average
598,44,29,56.02 kg,168.03 cm,Average
599,27,56,70.53 kg,169.26 cm,Average
600,18,49,62.06 kg,154.58 cm,Low
601,12,86,68.63 kg,157.06 cm,Average
602,35,37,73.04 kg,166.88 cm,Average
603,35,50,67.38 kg,159.37 cm,Average
604,18,73,57.49 kg,167.97 cm,High
605,14,53,74.86 kg,169.88 cm,High
606,49,32,61.17 kg,154.23 cm,Average
607,24,68,63.76 kg,151.39 cm,High
608,22,63,53.98 kg,172.2 cm,Average
609,19,96,66.57 kg,179.04 cm,Average
610,16,85,68.42 kg,156.0 cm,
611,48,,57.1 kg,160.41 cm,Low
612,26,47,70.03 kg,178.62 cm,High
613,29,24,54.08 kg,174.04 cm,Average
614,14,56,55.44 kg,151.28 cm,High
615,48,47,62.31 kg,,Low
616,22,36,71.36 kg,179.89 cm,Average
617,25,66,69.26 kg,156.25 cm,High
618,28,50,62.29 kg,179.84 cm,High
